box_x,box_y,timestamp,density
9,19,23,3
9,19,55,1
9,19,59,1
9,19,65,1
9,19,75,1
9,19,78,1
9,19,81,2
9,19,85,1
9,19,89,5
9,19,104,4
9,19,107,1
9,19,108,1
9,19,112,2
9,19,113,3
9,19,114,1
9,19,116,1
9,19,117,3
9,19,118,1
9,19,120,2
9,19,135,1
9,22,49,1
9,22,55,1
9,22,59,1
9,22,71,1
9,22,72,1
9,22,87,1
9,22,89,1
9,22,90,1
9,22,91,1
9,22,97,1
9,22,104,1
9,22,120,1
9,22,135,1
9,22,139,1
10,17,48,1
10,17,51,1
10,17,53,1
10,17,60,3
10,17,61,2
10,17,63,4
10,17,66,1
10,17,69,2
10,17,73,2
10,17,76,1
10,17,79,1
10,17,80,4
10,17,81,1
10,17,83,3
10,17,84,1
10,17,90,4
10,17,97,1
10,17,98,1
10,17,99,1
10,17,101,1
10,17,102,1
10,17,103,5
10,17,109,1
10,17,119,1
10,17,122,2
10,17,134,2
10,21,11,1
10,21,70,2
10,21,73,1
10,21,89,1
10,21,104,1
10,21,105,1
10,21,106,1
10,21,108,1
10,21,114,1
10,21,139,1
10,21,140,1
12,16,40,1
12,16,42,1
12,16,51,1
12,16,52,3
12,16,57,1
12,16,59,1
12,16,61,1
12,16,63,3
12,16,66,1
12,16,69,1
12,16,70,3
12,16,71,1
12,16,79,1
12,16,85,1
12,16,87,3
12,16,88,1
12,16,89,3
12,16,98,1
12,16,100,1
12,16,103,2
12,16,108,1
12,16,114,1
12,16,119,2
12,16,120,1
12,16,123,1
12,16,124,1
12,16,126,1
12,16,127,1
12,16,129,1
12,16,133,1
12,16,134,2
12,17,5,1
12,17,33,1
12,17,48,1
12,17,51,1
12,17,59,1
12,17,62,1
12,17,67,1
12,17,70,1
12,17,74,3
12,17,75,1
12,17,76,2
12,17,79,1
12,17,80,1
12,17,81,1
12,17,84,1
12,17,91,1
12,17,94,3
12,17,95,2
12,17,97,1
12,17,99,2
12,17,103,1
12,17,105,2
